point_id,X_pixel,Y_pixel,fault_name
1,1425,3,Fault_1
2,1412,9,Fault_1
3,1398,19,Fault_1
4,1381,30,Fault_1
5,1367,40,Fault_1
6,1352,51,Fault_1
7,1337,62,Fault_1
8,1322,73,Fault_1
9,1307,84,Fault_1
10,1291,96,Fault_1
11,1277,107,Fault_1
12,1262,119,Fault_1
13,1246,131,Fault_1
14,1233,142,Fault_1
15,1217,155,Fault_1
16,1202,167,Fault_1
17,1187,179,Fault_1
18,1173,191,Fault_1
19,1157,204,Fault_1
20,1143,214,Fault_1
21,1129,228,Fault_1
22,1117,237,Fault_1
23,1102,251,Fault_1
24,1087,264,Fault_1
25,1072,277,Fault_1
26,1057,290,Fault_1
27,1042,303,Fault_1
28,1027,317,Fault_1
29,1013,330,Fault_1
30,997,344,Fault_1
31,982,358,Fault_1
32,967,371,Fault_1
33,952,385,Fault_1
34,937,399,Fault_1
35,924,411,Fault_1
36,911,423,Fault_1
37,896,437,Fault_1
38,880,452,Fault_1
39,866,466,Fault_1
40,851,480,Fault_1
41,836,495,Fault_1
42,822,509,Fault_1
43,809,521,Fault_1
44,794,535,Fault_1
45,779,550,Fault_1
46,767,562,Fault_1
47,752,576,Fault_1
48,737,591,Fault_1
49,722,605,Fault_1
50,707,620,Fault_1
51,692,635,Fault_1
52,679,647,Fault_1
53,664,662,Fault_1
54,649,676,Fault_1
55,634,691,Fault_1
56,619,705,Fault_1
57,604,719,Fault_1
58,589,734,Fault_1
59,574,748,Fault_1
60,559,762,Fault_1
61,544,776,Fault_1
62,529,791,Fault_1
63,514,805,Fault_1
64,501,817,Fault_1
65,486,831,Fault_1
66,471,846,Fault_1
67,455,860,Fault_1
68,440,874,Fault_1
69,426,887,Fault_1
70,411,901,Fault_1
71,396,915,Fault_1
72,381,929,Fault_1
73,367,942,Fault_1
74,353,955,Fault_1
75,338,967,Fault_1
76,323,980,Fault_1
77,308,992,Fault_1
78,292,1005,Fault_1
79,278,1017,Fault_1
80,263,1029,Fault_1
81,248,1041,Fault_1
82,233,1053,Fault_1
83,218,1065,Fault_1
84,203,1072,Fault_1
85,204,1072,Fault_1
