X,Y,Z,azimuth,dip,polarity,formation
1129.6,645.4,766.0,144.2,37.4,1.0,Fault_1
1678.2,1153.1,832.8,142.9,41.3,1.0,Fault_1
2127.1,1558.2,878.1,144.4,33.1,1.0,Fault_1
754.0,1883.0,860.0,165.0,20.0,1.0,C
1221.5,1765.0,862.4,165.0,20.0,1.0,C
1604.7,1712.2,872.3,165.0,20.0,1.0,C
2154.5,1177.7,873.4,165.0,20.0,1.0,C
2528.9,1284.1,890.7,165.0,20.0,1.0,C
2835.5,1401.7,902.7,165.0,20.0,1.0,C
431.8,1254.9,794.8,165.0,20.0,1.0,P
777.2,1133.5,789.0,165.0,20.0,1.0,P
1062.0,1074.4,795.3,165.0,20.0,1.0,P
1713.6,485.3,800.4,165.0,20.0,1.0,P
2228.6,537.3,834.5,165.0,20.0,1.0,P
2650.4,627.8,860.4,165.0,20.0,1.0,P
