X,Y,Z,formation
404.0,6.0,687.2,Fault_1
534.0,98.0,692.7,Fault_1
666.0,208.0,698.3,Fault_1
792.0,320.0,713.1,Fault_1
924.0,442.0,733.3,Fault_1
1050.0,562.0,752.6,Fault_1
1182.0,686.0,772.6,Fault_1
1314.0,814.0,792.8,Fault_1
1440.0,936.0,811.3,Fault_1
1566.0,1058.0,829.6,Fault_1
1690.0,1178.0,847.7,Fault_1
1822.0,1304.0,866.7,Fault_1
1944.0,1416.0,876.6,Fault_1
2076.0,1536.0,885.6,Fault_1
2208.0,1652.0,894.5,Fault_1
2328.0,1754.0,901.7,Fault_1
2460.0,1862.0,907.4,Fault_1
2590.0,1964.0,912.7,Fault_1
2722.0,2062.0,917.7,Fault_1
2854.0,2144.0,922.1,Fault_1
144.0,2150.0,874.6,C
252.0,2094.0,873.9,C
358.0,2032.0,870.1,C
468.0,1980.0,864.4,C
576.0,1920.0,858.2,C
686.0,1870.0,853.6,C
796.0,1822.0,850.0,C
906.0,1782.0,848.1,C
1014.0,1754.0,848.3,C
1124.0,1734.0,850.1,C
1234.0,1718.0,853.3,C
1344.0,1706.0,857.6,C
1452.0,1698.0,863.1,C
1562.0,1696.0,869.8,C
1672.0,1690.0,874.5,C
1782.0,1686.0,878.8,C
1890.0,1686.0,883.2,C
2000.0,1690.0,887.7,C
2110.0,1694.0,892.1,C
2220.0,1700.0,896.6,C
1664.0,1114.0,841.6,C
1750.0,1116.0,849.1,C
1838.0,1120.0,856.7,C
1926.0,1124.0,863.9,C
2014.0,1130.0,870.2,C
2100.0,1144.0,873.7,C
2188.0,1160.0,877.2,C
2276.0,1176.0,880.8,C
2364.0,1198.0,884.6,C
2452.0,1226.0,888.7,C
2538.0,1256.0,892.8,C
2626.0,1288.0,897.2,C
2714.0,1326.0,900.9,C
2802.0,1364.0,903.2,C
2890.0,1410.0,905.7,C
2976.0,1454.0,908.1,C
3064.0,1500.0,910.6,C
3152.0,1548.0,913.1,C
3240.0,1596.0,915.7,C
3326.0,1650.0,918.3,C
0.0,1556.0,830.7,P
62.0,1476.0,821.6,P
138.0,1396.0,811.6,P
220.0,1332.0,803.0,P
296.0,1280.0,795.0,P
378.0,1234.0,788.1,P
460.0,1196.0,782.9,P
542.0,1162.0,779.1,P
622.0,1136.0,777.1,P
704.0,1112.0,776.4,P
786.0,1094.0,777.4,P
868.0,1078.0,779.6,P
948.0,1066.0,782.8,P
1030.0,1058.0,787.2,P
1112.0,1050.0,792.2,P
1194.0,1046.0,798.0,P
1274.0,1042.0,803.9,P
1356.0,1040.0,810.4,P
1438.0,1042.0,817.5,P
1520.0,1050.0,825.1,P
1038.0,508.0,748.1,P
1158.0,496.0,758.7,P
1278.0,484.0,768.7,P
1398.0,474.0,778.6,P
1520.0,466.0,789.1,P
1640.0,460.0,799.4,P
1760.0,458.0,807.4,P
1880.0,456.0,814.6,P
2002.0,464.0,821.9,P
2122.0,472.0,828.6,P
2242.0,486.0,835.9,P
2362.0,506.0,842.8,P
2484.0,534.0,850.7,P
2604.0,570.0,859.1,P
2724.0,612.0,867.9,P
2844.0,658.0,874.1,P
2966.0,710.0,879.8,P
3086.0,768.0,885.7,P
3206.0,824.0,891.5,P
3326.0,890.0,897.0,P
