X,Y,Z
0.0,0.0,948.0
100.0,0.0,953.5
200.0,0.0,958.7
300.0,0.0,963.5
400.0,0.0,967.4
500.0,0.0,970.4
600.0,0.0,972.3
700.0,0.0,973.0
800.0,0.0,972.5
900.0,0.0,970.7
1000.0,0.0,967.9
1100.0,0.0,964.1
1200.0,0.0,959.4
1300.0,0.0,954.3
1400.0,0.0,948.8
1500.0,0.0,943.2
1600.0,0.0,937.9
1700.0,0.0,933.1
1800.0,0.0,929.1
1900.0,0.0,925.9
2000.0,0.0,923.9
0.0,100.0,947.3
100.0,100.0,952.8
200.0,100.0,958.0
300.0,100.0,962.7
400.0,100.0,966.7
500.0,100.0,969.7
600.0,100.0,971.6
700.0,100.0,972.3
800.0,100.0,971.7
900.0,100.0,970.0
1000.0,100.0,967.2
1100.0,100.0,963.3
1200.0,100.0,958.7
1300.0,100.0,953.5
1400.0,100.0,948.0
1500.0,100.0,942.5
1600.0,100.0,937.2
1700.0,100.0,932.4
1800.0,100.0,928.4
1900.0,100.0,925.2
2000.0,100.0,923.2
0.0,200.0,945.1
100.0,200.0,950.7
200.0,200.0,955.9
300.0,200.0,960.6
400.0,200.0,964.5
500.0,200.0,967.5
600.0,200.0,969.4
700.0,200.0,970.1
800.0,200.0,969.6
900.0,200.0,967.9
1000.0,200.0,965.0
1100.0,200.0,961.2
1200.0,200.0,956.6
1300.0,200.0,951.4
1400.0,200.0,945.9
1500.0,200.0,940.4
1600.0,200.0,935.1
1700.0,200.0,930.3
1800.0,200.0,926.2
1900.0,200.0,923.1
2000.0,200.0,921.0
0.0,300.0,941.8
100.0,300.0,947.3
200.0,300.0,952.5
300.0,300.0,957.2
400.0,300.0,961.2
500.0,300.0,964.2
600.0,300.0,966.1
700.0,300.0,966.8
800.0,300.0,966.2
900.0,300.0,964.5
1000.0,300.0,961.7
1100.0,300.0,957.8
1200.0,300.0,953.2
1300.0,300.0,948.0
1400.0,300.0,942.5
1500.0,300.0,937.0
1600.0,300.0,931.7
1700.0,300.0,926.9
1800.0,300.0,922.9
1900.0,300.0,919.7
2000.0,300.0,917.7
0.0,400.0,937.5
100.0,400.0,943.0
200.0,400.0,948.2
300.0,400.0,952.9
400.0,400.0,956.9
500.0,400.0,959.9
600.0,400.0,961.8
700.0,400.0,962.5
800.0,400.0,961.9
900.0,400.0,960.2
1000.0,400.0,957.4
1100.0,400.0,953.5
1200.0,400.0,948.9
1300.0,400.0,943.7
1400.0,400.0,938.2
1500.0,400.0,932.7
1600.0,400.0,927.4
1700.0,400.0,922.6
1800.0,400.0,918.5
1900.0,400.0,915.4
2000.0,400.0,913.4
0.0,500.0,932.6
100.0,500.0,938.1
200.0,500.0,943.3
300.0,500.0,948.0
400.0,500.0,952.0
500.0,500.0,955.0
600.0,500.0,956.8
700.0,500.0,957.5
800.0,500.0,957.0
900.0,500.0,955.3
1000.0,500.0,952.4
1100.0,500.0,948.6
1200.0,500.0,944.0
1300.0,500.0,938.8
1400.0,500.0,933.3
1500.0,500.0,927.8
1600.0,500.0,922.5
1700.0,500.0,917.7
1800.0,500.0,913.6
1900.0,500.0,910.5
2000.0,500.0,908.4
0.0,600.0,927.4
100.0,600.0,932.9
200.0,600.0,938.2
300.0,600.0,942.9
400.0,600.0,946.8
500.0,600.0,949.8
600.0,600.0,951.7
700.0,600.0,952.4
800.0,600.0,951.9
900.0,600.0,950.2
1000.0,600.0,947.3
1100.0,600.0,943.5
1200.0,600.0,938.9
1300.0,600.0,933.7
1400.0,600.0,928.2
1500.0,600.0,922.7
1600.0,600.0,917.4
1700.0,600.0,912.6
1800.0,600.0,908.5
